GISJOIN,Object_ID,Name,Address,City,State,ZIP,County,Country
G0100490,20862,DESOTO STATE PARK RANGER STATION,13883 COUNTY ROAD 89,FORT PAYNE,AL,35967,DEKALB,USA
G0100490,22075,FORT PAYNE POLICE DEPARTMENT,200 GAULT AVENUE SOUTH, SUITE 1,FORT PAYNE,AL,35967,DEKALB,USA
G0100490,22073,RAINSVILLE POLICE DEPARTMENT,42 MCCURDY AVENUE SOUTH,RAINSVILLE,AL,35986,DEKALB,USA
G0100490,22457,SYLVANIA POLICE DEPARTMENT,22957 STATE HIGHWAY 75,SYLVANIA,AL,35988,DEKALB,USA
G0100490,22467,POWELL POLICE DEPARTMENT,110 BROAD STREET NORTH,FYFFE,AL,35971,DEKALB,USA
G0100490,22574,FYFFE POLICE DEPARTMENT,1010 MAIN STREET,FYFFE,AL,35971,DEKALB,USA
G0100490,20708,BUCKS POCKET STATE PARK RANGER,393 COUNTY ROAD 174, BUCK'S POCKET STATE PARK LODGE,GROVE OAK,AL,35975,DEKALB,USA
G0100490,22541,GERALDINE POLICE DEPARTMENT,41343 STATE HIGHWAY 75,GERALDINE,AL,35974,DEKALB,USA
G0100490,22093,CROSSVILLE POLICE DEPARTMENT,14521 STATE HIGHWAY 68,CROSSVILLE,AL,35962,DEKALB,USA
G0100490,22074,COLLINSVILLE POLICE DEPARTMENT,39 POST OFFICE STREET,COLLINSVILLE,AL,35961,DEKALB,USA
G0100490,22039,DEKALB COUNTY SHERIFFS DEPARTMENT / DEKALB COUNTY JAIL,2801 JORDAN ROAD SOUTHWEST,FORT PAYNE,AL,35968,DEKALB,USA
G0100430,22575,HANCEVILLE POLICE DEPARTMENT,203 BANGOR AVENUE SOUTHEAST,HANCEVILLE,AL,35077,CULLMAN,USA
G0100430,20683,CULLMAN COUNTY JUVENILE DETENTION CENTER,1906 BEECH AVENUE SOUTHEAST,CULLMAN,AL,35055,CULLMAN,USA
G0100430,22029,CULLMAN COUNTY SHERIFFS DEPARTMENT,1910 BEECH AVENUE SOUTHEAST,CULLMAN,AL,35055,CULLMAN,USA
G0100430,22548,CULLMAN POLICE DEPARTMENT,301 1ST STREET NORTHEAST,CULLMAN,AL,35055,CULLMAN,USA
G0100570,22430,BERRY POLICE DEPARTMENT,30 SCHOOL AVENUE,BERRY,AL,35546,FAYETTE,USA
G0100570,22586,FAYETTE COUNTY SHERIFFS OFFICE,113 1ST AVENUE NORTHWEST,FAYETTE,AL,35555,FAYETTE,USA
G0100570,22441,FAYETTE POLICE DEPARTMENT,118 1ST AVENUE NORTHEAST,FAYETTE,AL,35555,FAYETTE,USA
G0100610,22499,SAMSON POLICE DEPARTMENT,13 EAST MAIN STREET,SAMSON,AL,36477,GENEVA,USA
G0100610,22065,GENEVA POLICE DEPARTMENT,517 SOUTH COMMERCE STREET,GENEVA,AL,36340,GENEVA,USA
G0100610,22033,GENEVA COUNTY SHERIFFS DEPARTMENT / GENEVA COUNTY JAIL,200 NORTH COMMERCE STREET,GENEVA,AL,36340,GENEVA,USA
G0100610,22414,HARTFORD POLICE DEPARTMENT,114 SOUTH 4TH AVENUE,HARTFORD,AL,36344,GENEVA,USA
G0100610,22530,SLOCOMB POLICE DEPARTMENT,255 EAST LAWRENCE HARRIS HIGHWAY,SLOCOMB,AL,36375,GENEVA,USA
G0100510,22165,WETUMPKA POLICE DEPARTMENT,203 EAST CHARLES AVENUE,WETUMPKA,AL,36092,ELMORE,USA
G0100510,20817,CENTRAL ALABAMA DRUG TASK FORCE,8935 UNITED STATES HIGHWAY 231,WETUMPKA,AL,36092,ELMORE,USA
G0100510,22577,ELMORE COUNTY SHERIFFS DEPARTMENT / ELMORE COUNTY JAIL,8955 UNITED STATES HIGHWAY 231,WETUMPKA,AL,36092,ELMORE,USA
G0100510,22494,ECLECTIC POLICE DEPARTMENT,50 MAIN STREET,ECLECTIC,AL,36024,ELMORE,USA
G0100510,22176,TALLASSEE POLICE DEPARTMENT,100 NORTH ANN AVE,TALLASSEE,AL,36078,ELMORE,USA
G0100510,22602,MILLBROOK POLICE DEPARTMENT,3841 GRANDVIEW ROAD,MILLBROOK,AL,36054,ELMORE,USA
G0100510,22424,COOSADA POLICE DEPARTMENT,5800 COOSADA ROAD,COOSADA,AL,36020,ELMORE,USA
G0100250,22446,COFFEEVILLE POLICE DEPARTMENT,100 RIVER STREET EAST,COFFEEVILLE,AL,36524,CLARKE,USA
G0100250,22525,THOMASVILLE POLICE DEPARTMENT,137 ADAMS AVENUE,THOMASVILLE,AL,36784,CLARKE,USA
G0100250,20714,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT - GROVE HILL OFFICE,32850 UNITED STATES HIGHWAY 43,THOMASVILLE,AL,36784,CLARKE,USA
G0100250,22386,CLARKE COUNTY SHERIFFS DEPARTMENT / CLARKE COUNTY JAIL,149 CLARK STREET,GROVE HILL,AL,36451,CLARKE,USA
G0100250,20856,DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL FIELD OFFICE - GROVE HILL,360 SOUTH JACKSON STREET,GROVE HILL,AL,36451,CLARKE,USA
G0100250,22411,GROVE HILL POLICE DEPARTMENT,111 SOUTH CHURCH STREET,GROVE HILL,AL,36451,CLARKE,USA
G0100250,22532,FULTON POLICE DEPARTMENT,136 MAIN STREET,FULTON,AL,36446,CLARKE,USA
G0100250,20707,1ST JUDICIAL CIRCUIT TASK FORCE,123 FOREST AVENUE,JACKSON,AL,36545,CLARKE,USA
G0100250,22427,JACKSON POLICE DEPARTMENT,118 COLLEGE AVENUE,JACKSON,AL,36545,CLARKE,USA
G0101230,22098,NEW SITE POLICE DEPARTMENT,12791 STATE HIGHWAY 22 EAST,NEW SITE,AL,36256,TALLAPOOSA,USA
G0101230,22421,ALEXANDER CITY POLICE DEPARTMENT,1 COURT SQUARE,ALEXANDER CITY,AL,35010,TALLAPOOSA,USA
G0101230,20812,DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL POST - ALEXANDER CITY,1325 AIRPORT ROAD,ALEXANDER CITY,AL,35010,TALLAPOOSA,USA
G0101230,20697,WIND CREEK STATE PARK RANGER STATION,4325 STATE HIGHWAY 128,ALEXANDER CITY,AL,35010,TALLAPOOSA,USA
G0101230,20826,ALABAMA MARINE POLICE DISTRICT III,126 MARINA ROAD,ALEXANDER CITY,AL,35010,TALLAPOOSA,USA
G0101230,22436,CAMP HILL POLICE DEPARTMENT,309 HOLLEY AVENUE,CAMP HILL,AL,36850,TALLAPOOSA,USA
G0101230,22583,TALLAPOOSA COUNTY SHERIFFS DEPARTMENT / TALLAPOOSA COUNTY JAIL,316 INDUSTRIAL PARK DRIVE,DADEVILLE,AL,36853,TALLAPOOSA,USA
